Date,Price
2013-03-22,187.57
2013-03-21,187.5
2013-03-20,187.22
2013-03-19,187.49
2013-03-18,195
2013-03-14,190.69
2013-03-13,200
2013-03-12,199.98
2013-03-11,192.28
2013-03-08,192
2013-03-07,186.65
2013-03-06,190.68
2013-03-05,173.25
2013-03-01,182.18
2013-02-28,182.12
2013-02-27,189.98
2013-02-22,190
2013-02-21,185.47
2013-02-20,187.28
2013-02-18,194.24
2013-02-15,204.13
2013-02-14,202.13
2013-02-11,195.25
2013-02-08,186.14
2013-02-07,192.68
2013-02-05,163.74
2013-02-01,171.17
2013-01-31,184.99
2013-01-30,179.87
2013-01-29,156.88
2013-01-28,194.9
2013-01-25,189
2013-01-22,190
2013-01-21,192
2013-01-18,192.49
2013-01-14,181
2013-01-11,181
2013-01-10,180.01
2013-01-08,182.32
2013-01-07,190
